date,YYYYMMDD,Ekurhuleni	Cases,Ekurhuleni	Recoveries,Ekurhuleni	Deaths,Ekurhuleni East 1	Cases,Ekurhuleni East 2	Cases,Ekurhuleni North 1	Cases,Ekurhuleni North 2	Cases,Ekurhuleni South 1	Cases,Ekurhuleni South 2	Cases,Ekurhuleni Unallocated	Cases,Ekurhuleni	Deaths,source
10-04-2020,20200410,120,,,,,,,,,,,https://twitter.com/bandilemasuku/status/1248885756350906368?s=20
11-04-2020,20200411,141,,,,,,,,,,,https://twitter.com/bandilemasuku/status/1249256629809315840?s=20
12-04-2020,20200412,141,,,,,,,,,,,https://twitter.com/bandilemasuku/status/1249617706946527232?s=20
13-04-2020,20200413,148,,,,,,,,,,,https://twitter.com/GautengHealth/status/1250340813172666369?s=20
15-04-2020,20200415,161,,,,,,,,,,,https://twitter.com/bandilemasuku/status/1250794333344870401?s=20
16-04-2020,20200416,180,,,,,,,,,,,https://twitter.com/GautengProvince/status/1251063621674770434?s=20
17-04-2020,20200417,196,,,,,,,,,,,https://twitter.com/GautengProvince/status/1251412168605609985?s=20
18-04-2020,20200418,223,,,,,,,,,,,https://twitter.com/GautengHealth/status/1251781899103678465?s=20
19-04-2020,20200419,233,,,,,,,,,,,https://twitter.com/GautengHealth/status/1252150127474741248
20-04-2020,20200420,246,,,,,,,,,,,https://twitter.com/GautengHealth/status/1252960035489144833
21-04-2020,20200421,257,,,,,,,,,,,https://twitter.com/GautengHealth/status/1252960035489144833
22-04-2020,20200422,265,,,,,,,,,,,https://twitter.com/GautengHealth/status/1253362678506143751/
23-04-2020,20200423,268,,,,,,,,,,,https://twitter.com/GautengHealth/status/1253630139830853632
24-04-2020,20200424,276,,,,,,,,,,,https://twitter.com/GautengHealth/status/1254045244158607361
25-04-2020,20200425,287,,,,,,,,,,,https://twitter.com/GautengHealth/status/1254368137321025537/
26-04-2020,20200426,297,,,,,,,,,,,https://twitter.com/GautengHealth/status/1254738555269718018
27-04-2020,20200427,300,,,32,29,30,91,76,10,32,,https://twitter.com/GautengHealth/status/1255117154296442880/
28-04-2020,20200428,310,,,33,29,37,92,77,10,32,,https://twitter.com/GautengHealth/status/1255478105906479114/
29-04-2020,20200429,318,,,34,30,40,94,79,10,31,,https://twitter.com/GautengHealth/status/1255835772537786368/
30-04-2020,20200430,319,,,33,29,38,92,77,10,40,,https://twitter.com/GautengHealth/status/1256218341590646787/
01-05-2020,20200501,328,225,,33,30,42,94,77,10,42,,https://twitter.com/GautengHealth/status/1256513303683239937/
02-05-2020,20200502,349,,,33,31,69,94,78,10,34,,https://twitter.com/GautengHealth/status/1256874258095112197
03-05-2020,20200503,358,,,34,31,73,94,81,10,35,,https://twitter.com/GautengHealth/status/1257276507615092737
04-05-2020,20200504,360,263,,36,31,73,94,81,10,35,,https://twitter.com/GautengHealth/status/1257643880373268480/
05-05-2020,20200505,366,,,37,31,74,94,83,12,35,,https://twitter.com/GautengHealth/status/1258009162438639616
06-05-2020,20200506,370,,,37,31,77,95,83,12,35,,https://twitter.com/GautengHealth/status/1258347572256800769
07-05-2020,20200507,398,,,37,31,106,97,85,12,30,,https://twitter.com/GautengHealth/status/1258671507548639232
08-05-2020,20200508,402,280,,37,31,108,100,85,13,28,,https://twitter.com/GautengHealth/status/1259051943487574018
09-05-2020,20200509,426,,,39,31,129,104,88,14,21,,https://twitter.com/GautengHealth/status/1259455975863484418
10-05-2020,20200510,435,,,39,31,135,107,88,15,20,,https://twitter.com/GautengHealth/status/1259758510746808320/
11-05-2020,20200511,438,306,,39,32,136,107,88,15,21,,https://twitter.com/GautengHealth/status/1260219552044126219
12-05-2020,20200512,448,,,41,34,138,108,91,15,21,,https://twitter.com/GautengHealth/status/1260521861399617539
13-05-2020,20200513,456,,,42,35,142,109,92,15,21,,https://twitter.com/GautengHealth/status/1260865969364316160
14-05-2020,20200514,460,,,42,35,144,112,93,19,15,,https://twitter.com/GautengHealth/status/1261248539751047168
15-05-2020,20200515,477,368,,42,35,160,113,96,19,12,,https://twitter.com/GautengHealth/status/1261551594967126016
16-05-2020,20200516,488,,,42,36,165,115,99,19,12,,https://twitter.com/GautengHealth/status/1261955293803618305/
17-05-2020,20200517,,,,42,36,165,115,99,19,12,,https://twitter.com/nicd_sa/status/1262110389111791617/
18-05-2020,20200518,527,383,8,42,38,167,116,101,20,43,8,https://twitter.com/GautengHealth/status/1262623142067003392
19-05-2020,20200519,538,384,8,42,39,167,118,102,22,48,8,https://twitter.com/GautengHealth/status/1263108613859676166/
